leakage check: passed for every rolling_backtest call below (assertion runs inside rolling_backtest itself)
25 portfolios, window=60, 1/N: sharpe=0.6270 95% CI=[0.4471, 0.8966] (block=12mo, n_boot=2000)
25 portfolios, window=60, sample min-variance: sharpe=0.7631 95% CI=[0.5228, 1.0906] (block=12mo, n_boot=2000)
25 portfolios, window=60, tangency: sharpe=0.1026 95% CI=[-0.0324, 0.2378] (block=12mo, n_boot=2000)
25 portfolios, window=60, shrinkage min-variance: sharpe=0.8205 95% CI=[0.5777, 1.1795] (block=12mo, n_boot=2000)
25 portfolios, window=120, 1/N: sharpe=0.7195 95% CI=[0.4692, 0.9657] (block=12mo, n_boot=2000)
25 portfolios, window=120, sample min-variance: sharpe=0.9412 95% CI=[0.6850, 1.2227] (block=12mo, n_boot=2000)
25 portfolios, window=120, tangency: sharpe=0.1395 95% CI=[-0.0186, 0.3345] (block=12mo, n_boot=2000)
25 portfolios, window=120, shrinkage min-variance: sharpe=0.9872 95% CI=[0.7240, 1.2628] (block=12mo, n_boot=2000)
25 portfolios, window=240, 1/N: sharpe=0.7690 95% CI=[0.5401, 1.0315] (block=12mo, n_boot=2000)
25 portfolios, window=240, sample min-variance: sharpe=1.1093 95% CI=[0.8684, 1.4047] (block=12mo, n_boot=2000)
25 portfolios, window=240, tangency: sharpe=0.7020 95% CI=[0.4077, 1.1791] (block=12mo, n_boot=2000)
25 portfolios, window=240, shrinkage min-variance: sharpe=1.0885 95% CI=[0.8500, 1.3773] (block=12mo, n_boot=2000)
49 industries, window=60, 1/N: sharpe=0.8029 95% CI=[0.5356, 1.1208] (block=12mo, n_boot=2000)
49 industries, window=60, sample min-variance: sharpe=0.2473 95% CI=[-0.0752, 0.5643] (block=12mo, n_boot=2000)
49 industries, window=60, tangency: sharpe=-0.0391 95% CI=[-0.2323, 0.2899] (block=12mo, n_boot=2000)
49 industries, window=60, shrinkage min-variance: sharpe=0.8051 95% CI=[0.5450, 1.2018] (block=12mo, n_boot=2000)
49 industries, window=120, 1/N: sharpe=0.8092 95% CI=[0.5000, 1.1313] (block=12mo, n_boot=2000)
49 industries, window=120, sample min-variance: sharpe=0.7781 95% CI=[0.4380, 1.1336] (block=12mo, n_boot=2000)
49 industries, window=120, tangency: sharpe=0.4424 95% CI=[0.1029, 0.7354] (block=12mo, n_boot=2000)
49 industries, window=120, shrinkage min-variance: sharpe=0.9249 95% CI=[0.5895, 1.3039] (block=12mo, n_boot=2000)
49 industries, window=240, 1/N: sharpe=0.7568 95% CI=[0.4123, 1.1244] (block=12mo, n_boot=2000)
49 industries, window=240, sample min-variance: sharpe=0.6471 95% CI=[0.2634, 1.0164] (block=12mo, n_boot=2000)
49 industries, window=240, tangency: sharpe=0.3939 95% CI=[0.0033, 0.6906] (block=12mo, n_boot=2000)
49 industries, window=240, shrinkage min-variance: sharpe=0.7356 95% CI=[0.3530, 1.1199] (block=12mo, n_boot=2000)
